Entity;Code;Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;AFG;;;;;;;;;;;;65.95744;84.745766;81.159424;67.02128;62.92135;63.440857;76.190475;78.94737;73.9726;82.97872;79.78723;76.92309;84.09091;80.180176;86.2069;87.28814;87.603294;85.826775;82.90598;83.17757;85
Angola;AGO;2000;64.28571;;;;;;;;;;64.28571;63.52201;66.08187;63.40206;79.357796;80.58608;81.48148;78.4127;76.35468;66.52174;69.17293;71.97106;62.023216;59.347553;56.83297;56.713207;58.863857;72.003746;77.162895;71.55844;72.9355
Albania;ALB;1990;86.36364;92.1466;95;93.76771;95.68528;93.95973;95.65944;96.17591;96.2818;97.41697;97.01493;96.438354;95.60439;98.0843;97.65343;98.7013;98.21428;97.526505;98.172325;100;100;98.554214;100;100;100;100;100;100;100;100;100
United Arab Emirates;ARE;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012061271;0.022642363;0.032181934;0.020030046;0.077361956;0.28292415;0.25885102;0.26261798;0.592698;1.0318142;2.930968;5.5788226
Argentina;ARG;1990;49.264286;44.11212;47.01023;51.09896;54.28159;50.15494;43.238823;49.78993;46.06736;35.667465;40.914955;50.38733;51.07825;46.982075;40.066883;40.620663;41.131058;34.19035;33.22876;36.362854;34.353058;31.217922;28.619164;30.806438;30.066004;29.472387;27.81438;28.267298;29.673082;31.991589;33.967842
Armenia;ARM;2000;;;;;;;;;;;54.98221;52.962296;71.59309;72.55278;70.84745;71.189285;75.26691;74.91039;74.04023;79.88827;78.15534;68.17539;58.08147;59.178085;57.84447;64.363144;65.03597;63.315216;57.04607;60.821915;59.999996
American Samoa;ASM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;ATG;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.030303;0;3.030303;3.030303;2.9411764;6.060606
Australia;AUS;1990;9.9702215;10.368504;10.299597;10.323705;9.914866;9.407731;9.408696;8.989149;8.488753;8.457535;8.634437;8.218014;8.0833025;8.659832;8.701304;9.156236;9.63576;9.119031;8.05489;7.804379;9.044215;11.3454275;11.410575;14.870858;14.96213;14.3476;15.609379;16.313873;17.145937;21.37597;25.503168
Austria;AUT;1990;66.206894;65.065765;72.392395;74.07047;70.81174;70.51468;66.809784;67.92385;69.79614;70.677574;72.58146;69.17786;69.03938;60.695835;63.975456;63.389675;65.285805;68.62184;69.03876;71.161385;66.24944;65.70832;74.71616;78.185486;81.46706;76.94422;78.28352;75.719376;76.96802;77.109795;80.098274
Azerbaijan;AZE;1990;7.1613684;7.5025053;8.841448;12.73424;10.414888;9.1293125;8.996196;10.168686;10.8419;8.285651;8.611898;7.206704;10.828371;12.121213;13.323572;14.8258705;11.155914;11.331718;10.806846;12.821948;19.211267;13.787722;8.29493;6.672719;5.5317326;6.9587626;8.485363;7.7961674;7.850546;6.869919;5.0041018
Burundi;BDI;2000;;;;;;;;;;;100;100;100;100;99.99999;99.99999;99.99999;100;100;100;100;92.85714;93.33333;83.333336;78.94737;83.333336;84.210526;72.413795;62.96296;66.666664;68.57143
Belgium;BEL;1990;61.573486;60.963615;61.719406;60.55936;57.793667;57.16812;58.424274;61.646126;57.168957;59.817677;59.439545;60.32049;59.92093;58.13091;58.863968;59.108204;59.72072;59.750465;60.367107;58.737595;58.662643;63.492416;62.392532;66.50758;64.71666;59.5273;68.80657;68.32686;62.255173;68.237465;65.866425
Benin;BEN;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4.347826
Burkina Faso;BFA;2000;;;;;;;;;;;31.25;15.625;16.666666;22.222223;21.276596;20.408163;15.384616;18.965517;22.413794;19.696968;20.3125;13.043478;12.643678;12.121212;8.928572;6.993007;10.322581;9.756098;13.939394;12.209302;12.804878
Bangladesh;BGD;1990;11.433006;10.133011;8.949854;6.604388;8.65699;3.442532;6.4406486;6.0634174;6.714796;5.764706;6.3214526;5.9792557;5.9659085;6.0247445;5.2020636;5.033425;4.7521367;2.6018488;2.970297;1.3401768;2.182385;2.3763802;2.0287957;2.1982415;1.5402168;1.4930743;1.9586676;1.9155419;1.8929151;1.4337819;1.7300581
Bulgaria;BGR;1990;38.878277;37.97002;37.95147;41.649048;43.812534;46.650658;49.133083;48.062923;48.178524;48.81517;51.25616;48.791714;53.07674;47.93095;48.212555;52.242203;52.154793;40.83916;41.96589;44.74368;45.69378;40.44044;45.245266;48.977695;49.573746;49.548252;51.21185;48.25284;54.813065;54.908676;59.920437
Bahrain;BHR;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03901678;0.037341297;0.037299518;0.036390103;0.03599712;0.031806614;0.03348962
Bahamas;BHS;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosnia and Herzegovina;BIH;2000;;;;;;;;;;;50.149254;50;50.144093;41.219963;48.287113;48.88889;45.3125;35.106384;33.99154;41.090427;48.18182;29.766804;31.026787;42.720764;38;36.740147;33.07828;24.450193;35.526318;37.85243;31.170483
Belarus;BLR;1990;0.050599605;0.0464696;0.04521878;0.056939077;0.060515337;0.080263264;0.06743088;0.08059254;0.119189516;0.07165485;0.12224939;0.12733448;0.120627254;0.11985617;0.10224949;0.13740982;0.20100503;0.23427042;0.3343465;0.3511236;0.36585367;0.3968254;0.552868;0.9797297;0.8274594;0.90568393;1.2678288;2.3105361;2.2094927;2.494692;4.4475136
Belize;BLZ;2000;;;;;;;;;;;49.999996;59.999996;59.999996;35.294117;37.5;41.17647;78.26087;75;86.95652;80;63.265305;67.44186;57.44681;66.66667;62.7451;57.407406;60.37736;53.94737;50.63291;53.409092;38.70968
Bolivia;BOL;2000;;;;;;;;;;;54.64191;57.4026;56.54321;50.359707;57.11009;50.746273;51.181103;56.079853;55.63506;53.38983;49.53416;50.07278;42.349728;42.22222;40.686275;41.946697;35.44018;39.25845;44.585983;42.04204;41.206547
Brazil;BRA;1990;95.50487;95.24155;95.14788;95.431725;95.42675;95.07129;94.39373;94.00732;93.93806;91.22531;91.57278;89.111;90.15546;91.18975;89.46926;90.00303;90.43527;91.390076;87.71251;92.08145;88.053566;90.468155;85.88896;80.12387;76.527;77.456825;83.713684;82.4661;85.409164;85.30534;86.79134
Barbados;BRB;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0309278;1.0204082;2;2.970297;3;3.9215686;7
Brunei;BRN;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bhutan;BTN;2000;;;;;;;;;;;100;100;100;100;100;100.00001;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Botswana;BWA;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33670032;0.3267974;0.48543692
Central African Republic;CAF;2000;;;;;;;;;;;80;80;80;80;80;81.25;82.35294;87.5;87.5;87.5;81.25;83.333336;83.333336;100;100;100;100;100;100;100;100
Canada;CAN;1990;77.42499;78.02858;77.073296;79.28152;79.690796;78.58922;79.47751;76.68002;73.11891;73.92155;73.5631;72.05828;73.43517;72.50952;74.44069;75.1381;76.42542;75.63339;77.01353;78.19636;77.64257;78.52962;79.71483;80.73323;80.702415;80.327095;81.02748;82.36389;82.31297;82.378334;83.625496
Switzerland;CHE;1990;95.88149;95.263664;94.89061;96.60307;96.50257;96.19965;94.782684;95.30064;94.529755;95.50258;95.74089;95.917755;95.43595;95.31761;95.104774;94.49286;94.64871;95.14986;95.15306;95.18459;94.649475;94.35811;94.53016;94.622986;94.88929;94.64199;93.58261;93.518196;94.31508;94.61654;94.62908
Chile;CHL;1990;53.834267;70.97458;82.69866;78.987724;74.26599;72.40424;60.44451;62.13549;48.170887;39.149124;47.506424;51.772526;53.10361;48.38281;42.88944;50.217308;52.324062;39.81779;42.185562;43.340977;36.98936;33.913605;31.310825;29.587795;36.368835;38.16028;33.083424;39.504177;42.859005;41.64621;43.807076
China;CHN;1990;20.414036;18.413998;17.366556;18.948397;19.727722;20.560476;18.86082;18.786402;18.49525;17.311365;17.874004;20.1379;19.137848;17.304693;18.513056;18.296497;17.50206;17.151705;20.981703;19.7715;20.564993;18.748974;22.102327;22.276764;24.659735;27.040327;28.500713;29.20226;29.917704;31.672895;32.980618
Cote d'Ivoire;CIV;2000;;;;;;;;;;;38.04348;38.03419;33.794468;37.166325;33.46228;26.741997;28.355389;33.776093;34.558823;37.94964;28.469751;30.5026;26.73716;22.083334;24.168797;16.42157;16.89038;20.238096;30.78534;34.530937;31.78808
Cameroon;CMR;2000;;;;;;;;;;;98.840576;98.28571;96.62577;95.87912;95.566505;94.43038;87.69932;75.44554;76.459854;71.454216;73.905426;75.91623;79.43396;70.4065;65.06747;56.23377;62.716763;64.54082;60.265697;64.19161;65.74186
Democratic Republic of Congo;COD;2000;;;;;;;;;;;100;100;99.834984;99.836334;99.85755;99.86358;99.73226;99.6139;99.46309;99.6129;98.97698;98.97567;99.86702;99.87745;99.88558;99.88688;99.88913;99.681854;99.71346;99.72924;99.748955
Congo;COG;2000;;;;;;;;;;;100;99.99999;100;90;89.74359;88.09524;88.63637;85;81.25;69.230774;57.894737;63.70968;60.97561;59.39394;57.14286;42.69663;41.342754;43.508774;38.72054;25.68306;25.065275
Cook Islands;COK;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;40;25;25
Colombia;COL;1990;72.60907;69.772255;61.782764;67.74923;72.18858;68.374115;73.97725;64.037476;62.274715;71.49735;75.79996;74.61738;76.746826;78.94737;81.81632;80.32422;80.788925;81.67896;84.04294;73.55417;71.81208;82.84114;78.59267;69.92658;69.60174;64.28759;66.44314;79.25381;75.868164;69.49456;64.77833
Comoros;COM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cape Verde;CPV;2000;;;;;;;;;;;7.142857;6.25;5.5555553;0;4.7619047;4.347826;4.166667;3.846154;3.7037036;3.5714285;0;8.571428;19.444443;23.076923;21.95122;21.95122;20.930233;17.391304;19.565218;17.391304;16.27907
Costa Rica;CRI;2000;;;;;;;;;;;98.9781;98.40349;97.843666;97.39369;99.12171;96.56442;93.822845;92.27323;92.73505;94.360085;92.50264;90.61856;91.04477;87.83383;89.11969;97.58364;96.77419;98.13664;97.290215;97.81277;98.38161
Cuba;CUB;2000;;;;;;;;;;;0.6342495;0.48476455;0.6752194;0.8713137;0.6101695;17.785467;9.935484;11.626506;11.8176365;11.310593;10.555217;10.400478;10.477835;9.741332;9.825328;9.625391;8.978329;9.386282;10.1833;15.309779;16.827957
Cayman Islands;CYM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5151515;1.5384616;2.857143;2.8985507
Cyprus;CYP;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.19723865;0.57581574;1.500938;3.4552846;5.508475;7.692308;7.142857;8.810573;8.793456;8.6;9.486166;10.097087;12.371135
Czechia;CZE;1990;22.081259;21.923716;23.116003;24.134993;25.27397;24.166391;23.672255;22.862482;23.475702;24.497427;21.769547;23.336027;28.592106;33.506462;34.69388;34.00464;35.345444;33.713116;36.347263;39.037235;39.78179;40.98304;44.325134;46.60228;46.465122;43.928745;40.836487;44.264397;45.302784;47.021107;50.442917
Germany;DEU;1990;31.375956;30.645912;33.453888;33.263794;33.15626;33.599216;33.879314;35.2895;33.77204;35.964817;35.834354;35.951813;35.968105;35.139576;36.874874;36.916584;38.0718;36.36033;38.340176;39.200935;39.34106;38.33799;39.088314;39.55161;41.88564;43.80161;42.6614;45.29961;47.109306;52.611385;55.681694
Djibouti;DJI;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominica;DMA;2000;;;;;;;;;;;42.857143;37.5;42.857143;37.5;42.857143;37.5;37.5;25;25;25;22.222221;40;30;40;30;20;36.363636;37.5;33.333336;22.222221;25
Denmark;DNK;1990;3.1947656;2.9009302;4.4227643;4.738081;4.2878265;5.0626016;3.883495;6.6169825;9.566698;11.262535;15.472222;15.509013;17.286152;17.48267;23.5527;27.049406;20.171015;26.201982;27.580559;27.652557;31.97839;40.232822;48.33876;45.941277;55.886925;65.43381;60.1964;70.25459;68.346504;78.17689;81.622
