Code;Entity;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;
MAR;Morocco;3368.051;3353.75;3692.0007;3672.131;3986.5735;3851.7097;3967.3018;4064.434;4109.5425;4205.276;4113.667;4386.623;4439.7236;4397.996;4946.6387;5301.4736;5340.5317;5226.2114;5694.0356;5486.076;6005.15;6222.626;6249.124;6330.0835;6336.756;6368.3936;6361.196;6580.7236;6730.607;7267.464;6551.4155;;;
MAR Total;;3368.051;3353.75;3692.0007;3672.131;3986.5735;3851.7097;3967.3018;4064.434;4109.5425;4205.276;4113.667;4386.623;4439.7236;4397.996;4946.6387;5301.4736;5340.5317;5226.2114;5694.0356;5486.076;6005.15;6222.626;6249.124;6330.0835;6336.756;6368.3936;6361.196;6580.7236;6730.607;7267.464;6551.4155;;;
ABW;Aruba;34868.008;36834.355;39116.55;38555.004;40968.72;44960.535;28751.375;45111.688;43778.63;42512.855;49568.207;50392.613;51469.32;56750.387;58649.285;62704.926;61848.48;62959.137;58413.715;57522.297;53389.605;42076.207;52292.04;50264.645;50628.816;51778.613;50017.652;51509.81;49515.113;51107.844;43496.94;;;
ABW Total;;34868.008;36834.355;39116.55;38555.004;40968.72;44960.535;28751.375;45111.688;43778.63;42512.855;49568.207;50392.613;51469.32;56750.387;58649.285;62704.926;61848.48;62959.137;58413.715;57522.297;53389.605;42076.207;52292.04;50264.645;50628.816;51778.613;50017.652;51509.81;49515.113;51107.844;43496.94;;;
AFG;Afghanistan;2968.316;1293.8619;760.34247;650.20715;570.4033;452.4602;425.90646;390.01947;365.12076;350.34662;302.59482;236.89185;210.86215;229.96822;204.23125;252.06912;304.4209;354.2799;607.8335;975.04816;1182.892;1436.1143;1324.1211;1060.7926;868.5762;970.0803;862.79114;829.31195;924.25085;802.61255;702.888;;;
AFG Total;;2968.316;1293.8619;760.34247;650.20715;570.4033;452.4602;425.90646;390.01947;365.12076;350.34662;302.59482;236.89185;210.86215;229.96822;204.23125;252.06912;304.4209;354.2799;607.8335;975.04816;1182.892;1436.1143;1324.1211;1060.7926;868.5762;970.0803;862.79114;829.31195;924.25085;802.61255;702.888;;;
AGO;Angola;1972.4146;1999.7367;1964.2823;1868.4213;1765.6033;1832.5981;1703.6484;1850.8456;1612.08;1742.2544;1979.2562;2079.732;2143.528;2298.9023;2454.67;2016.8517;2453.2468;2719.0603;3072.024;3368.8357;3560.0942;3594.49;3615.5242;3897.9126;4135.0474;4159.5776;3661.5513;3370.8962;3366.3933;3667.4238;3527.16;;;
AGO Total;;1972.4146;1999.7367;1964.2823;1868.4213;1765.6033;1832.5981;1703.6484;1850.8456;1612.08;1742.2544;1979.2562;2079.732;2143.528;2298.9023;2454.67;2016.8517;2453.2468;2719.0603;3072.024;3368.8357;3560.0942;3594.49;3615.5242;3897.9126;4135.0474;4159.5776;3661.5513;3370.8962;3366.3933;3667.4238;3527.16;;;
ALB;Albania;10214.598;8549.045;7468.515;6555.686;6243.8374;6919.9175;7645.6396;7020.859;7602.231;6892.834;9029.4375;8635.532;9443.555;10756.612;11586.951;11545.616;10976.728;9534.874;10499.328;11524.428;12377.504;10854.649;10652.809;13392.774;11809.461;11824.314;13823.748;12802.36;14609.701;11585.555;11158.003;;;
ALB Total;;10214.598;8549.045;7468.515;6555.686;6243.8374;6919.9175;7645.6396;7020.859;7602.231;6892.834;9029.4375;8635.532;9443.555;10756.612;11586.951;11545.616;10976.728;9534.874;10499.328;11524.428;12377.504;10854.649;10652.809;13392.774;11809.461;11824.314;13823.748;12802.36;14609.701;11585.555;11158.003;;;
