Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.712906785,3.222414529,3.372864192,3.04193161,3.196029146,3.084060978,3.025788936,3.027358768,3.004804525,2.934412926,2.539234444,1.768756621,1.194718055,0.997395547,0.90098923,1.003077184,1.181565546,1.227710815,1.241397377,1.233231321,1.13154104,0.93935591,0.810230588,0.749301039,0.69161526,0.637959162,0.590062487,0.537295706,0.494795263,0.451969659,0.134255302,-0.045044623,-0.086392283
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.911012866,2.792410358,2.633682259,2.658526402,2.619954544,2.62710703,2.693097728,2.580384122,2.514653934,2.559662482,2.583579242,2.5899606,2.606598026,2.617764284,2.64496843,2.666241587,2.702521121,2.747108851,2.765815976,2.755745298,2.757929142,2.738184845,2.740404834,2.780206834,2.774990291,2.802585821,2.72815853,2.655671599,2.688371428,2.691134381,2.678183716,2.607471694,2.540937372
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202433956,0.469880407,11.52252442,14.96445487,9.864262066,6.046535552,4.10302205,3.910605219,3.882930605,4.077879485,1.443803024,0.742516834,6.449321478,7.541018965,3.933177688,3.576508004,4.139678035,1.793195727,2.002333262,3.561288374,2.894904104,3.689508302,4.077627729,3.466788304,3.657576065,3.121341229,2.581549399,2.866492148,2.885207973,2.908529093,3.134746908,2.851357654,2.534498317
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.654931025,2.628368798,2.730420957,2.671362645,2.630609706,2.693235279,2.687499414,2.689028905,2.721940716,2.706291307,2.749599719,2.799653523,2.811452689,2.816480646,2.828642233,2.84121122,2.832779745,2.828409299,2.832916151,2.844037202,2.846535741,2.848825772,2.812850935,2.761838977,2.750730568,2.723317337,2.71305851,2.706266076,2.669238668,2.633982069,2.61564614,2.573377402,2.539799442
Angola,AGO,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.345143647,3.326137174,3.248850023,3.161546668,3.198432538,3.289675826,3.330132498,3.335153782,3.279067748,3.226447853,3.244121467,3.285217233,3.335131608,3.413321212,3.506388824,3.557658989,3.592013313,3.639589304,3.670909202,3.693482476,3.734797658,3.758796385,3.758702522,3.735525429,3.684428967,3.617677518,3.586211007,3.550986636,3.464456984,3.395277792,3.268348405,3.166029862,3.096752671
Albania,ALB,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062,-1.289800065
Andorra,AND,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66933416,3.422258136,3.281077167,3.217412672,3.130221536,3.051097802,1.918610889,0.830563112,0.776176626,0.716903736,0.670960074,2.573377665,4.369371501,4.225669436,4.012736713,3.691435273,0.493606006,-2.592496934,-2.740359388,-2.939367223,-3.209994187,-1.340053554,0.630034575,0.497261876,0.355274942,0.17437769,1.10060299,1.772182713,1.580147087,1.757491257,1.761891295,1.702288225,0.994607149
Arab World,ARB,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.151268683,2.174961331,2.495813151,2.703280235,2.716913672,2.486878866,2.404352806,2.368798182,2.318572882,2.286682257,2.285934317,2.245601501,2.216707482,2.184676519,2.177793578,2.333327042,2.540658428,2.675717433,2.705857514,2.632332267,2.437844933,2.174204883,2.157196193,2.299823498,2.259225675,2.155966313,2.109697128,2.068738846,2.096194015,2.062686901,1.757899007,1.623335187,1.78833854
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.869033185,5.539656399,5.230675559,4.934870583,4.646391359,4.40817687,5.543847098,6.521910679,6.178188555,5.864514558,5.580387001,5.317075961,5.064872584,4.829342685,4.609526744,6.955726898,13.48367209,18.12798398,17.399086,13.4229206,5.939765366,1.095562713,1.041344608,0.997641826,0.956397624,0.911950036,0.863868923,0.819744473,0.789450108,0.779087177,0.817694386,0.834812788,0.808075151
Argentina,ARG,Population growth (annual %),SP.POP.GROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.456402515,1.424063156,1.387434642,1.357965791,1.347023786,1.317554245,1.260410588,1.198264474,1.158177636,1.152043854,1.133277022,1.09917146,1.07353835,1.032360859,1.015336684,1.033476224,1.034671736,1.006297331,0.992294094,1.014283893,0.255582398,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,0.947490959,0.925835474
